iter	RMSE
0	14.72807801
1	14.2643326
2	13.80554605
3	13.42270791
4	13.06251997
5	12.69589477
6	12.39038503
7	12.0827051
8	11.78194248
9	11.45956673
10	11.13227191
11	10.82468887
12	10.5790887
13	10.30526472
14	10.06014166
15	9.839883127
16	9.602563632
17	9.403701878
18	9.190446315
19	8.990088523
20	8.80757859
21	8.63425939
22	8.498207557
23	8.327037033
24	8.198009164
25	8.071598432
26	7.929629102
27	7.804118442
28	7.68810516
29	7.557995425
30	7.465891985
31	7.3637845
32	7.254460457
33	7.173115968
34	7.101126975
35	7.018767833
36	6.949280293
37	6.883914807
38	6.817334662
39	6.758135532
40	6.682933395
41	6.622189704
42	6.562544351
43	6.507828883
44	6.46523775
45	6.412885323
46	6.367824155
47	6.335537316
48	6.295450767
49	6.253613885
50	6.218116705
51	6.184530181
52	6.147016642
53	6.103987281
54	6.069720033
55	6.040375611
56	6.016697887
57	5.991720584
58	5.975106456
59	5.951604192
60	5.933676969
61	5.916194901
62	5.896053307
63	5.872439599
64	5.84871865
65	5.827707396
66	5.809904558
67	5.7983089
68	5.779639115
69	5.761231071
70	5.741941095
71	5.722470023
72	5.707549642
73	5.695586229
74	5.68437464
75	5.670659718
76	5.661282151
77	5.645392961
78	5.627394981
79	5.614363967
80	5.607063545
81	5.595563938
82	5.585543662
83	5.574184871
84	5.564937762
85	5.556786452
86	5.541013548
87	5.535698518
88	5.525586034
89	5.519830877
90	5.511955868
91	5.500106278
92	5.489706062
93	5.477218264
94	5.470444804
95	5.466001428
96	5.461445094
97	5.454004923
98	5.448255917
99	5.439830841
100	5.434553361
101	5.422585373
102	5.416386941
103	5.407947181
104	5.402628456
105	5.397815516
106	5.392725736
107	5.387014472
108	5.376868725
109	5.369272252
110	5.363594891
111	5.358139015
112	5.354108627
113	5.34878426
114	5.346509494
115	5.340249273
116	5.33282261
117	5.329968681
118	5.326031738
119	5.321536205
120	5.318934921
121	5.314353245
122	5.309017741
123	5.30460249
124	5.299048834
125	5.295764773
126	5.290256869
127	5.287639524
128	5.283173703
129	5.281473359
130	5.278019375
131	5.272989334
132	5.270475079
133	5.266346841
134	5.264041718
135	5.260612006
136	5.254054806
137	5.251262357
138	5.249260686
139	5.245208955
140	5.242013603
141	5.240563028
142	5.235310162
143	5.23108098
144	5.22884895
145	5.226877689
146	5.223575729
147	5.221118354
148	5.217733069
149	5.214386491
150	5.211475415
151	5.206928512
152	5.201139921
153	5.198941288
154	5.195385451
155	5.190248635
156	5.185260837
157	5.18171668
158	5.179098445
159	5.173318012
160	5.170437494
161	5.16624656
162	5.163409538
163	5.160620648
164	5.158161915
165	5.155445593
166	5.153345043
167	5.150616894
168	5.149119332
169	5.146177932
170	5.144074118
171	5.14192433
172	5.136059638
173	5.130610049
174	5.127994591
175	5.124854747
176	5.120328877
177	5.118813054
178	5.116182932
179	5.11336573
180	5.11096177
181	5.106271152
182	5.103121092
183	5.101328813
184	5.099170977
185	5.095065999
186	5.092669864
187	5.088862945
188	5.083331703
189	5.081743032
190	5.078045674
191	5.073603076
192	5.069862259
193	5.066489177
194	5.061477772
195	5.056786615
196	5.052993865
197	5.047863499
198	5.044660845
199	5.044199028
