iter	Passed	Remaining
0	146	145981
1	147	73431
2	148	49202
3	148	37064
4	149	29771
5	150	24904
6	151	21448
7	151	18847
8	152	16827
9	153	15205
10	154	13890
11	155	12774
12	155	11833
13	156	11022
14	157	10320
15	157	9710
16	158	9172
17	159	8695
18	160	8266
19	160	7882
20	161	7536
21	162	7222
22	163	6930
23	163	6668
24	164	6424
25	165	6196
26	166	5986
27	166	5793
28	167	5613
29	168	5445
30	169	5290
31	169	5139
32	170	5003
33	171	4874
34	172	4751
35	172	4631
36	173	4514
37	173	4403
38	174	4297
39	174	4196
40	175	4100
41	175	4009
42	176	3922
43	176	3839
44	177	3760
45	177	3685
46	178	3613
47	178	3544
48	179	3478
49	179	3415
50	180	3353
51	180	3294
52	181	3236
53	181	3181
54	182	3128
55	182	3077
56	183	3027
57	183	2979
58	183	2933
59	184	2889
60	185	2847
61	185	2806
62	186	2767
63	186	2728
64	187	2690
65	187	2654
66	188	2618
67	188	2583
68	189	2550
69	189	2517
70	189	2485
71	190	2454
72	190	2424
73	191	2395
74	191	2366
75	192	2339
76	192	2312
77	193	2286
78	193	2261
79	194	2235
80	194	2209
81	195	2184
82	195	2161
83	196	2138
84	196	2114
85	196	2092
86	197	2071
87	197	2050
88	198	2030
89	198	2010
90	199	1990
91	199	1971
92	200	1953
93	200	1934
94	201	1917
95	201	1900
96	202	1883
97	202	1866
98	203	1848
99	203	1833
100	204	1816
101	204	1801
102	205	1785
103	205	1770
104	206	1755
105	206	1741
106	206	1726
107	207	1712
108	207	1698
109	208	1685
110	208	1673
111	209	1660
112	209	1647
113	210	1635
114	210	1622
115	211	1610
116	211	1598
117	212	1586
118	212	1574
119	213	1563
120	213	1551
121	214	1540
122	214	1529
123	215	1519
124	215	1508
125	216	1498
126	216	1489
127	217	1478
128	217	1469
129	218	1459
130	218	1449
131	219	1440
132	219	1430
133	219	1421
134	220	1412
135	220	1403
136	221	1393
137	221	1384
138	222	1375
139	222	1366
140	223	1358
141	223	1349
142	223	1341
143	224	1333
144	224	1325
145	225	1317
146	225	1309
147	226	1302
148	226	1294
149	227	1287
150	227	1279
151	228	1272
152	228	1265
153	229	1258
154	229	1251
155	229	1243
156	230	1237
157	230	1230
158	231	1224
159	232	1218
160	232	1211
161	232	1205
162	233	1198
163	233	1192
164	234	1185
165	234	1179
166	235	1173
167	235	1167
168	236	1161
169	236	1155
170	237	1149
171	237	1143
172	238	1138
173	238	1132
174	239	1127
175	239	1122
176	240	1117
177	240	1111
178	241	1106
179	241	1101
180	242	1095
181	242	1090
182	243	1085
183	243	1080
184	244	1075
185	244	1070
186	245	1065
187	245	1060
188	246	1056
189	246	1051
190	247	1046
191	247	1042
192	248	1037
193	248	1033
194	249	1028
195	249	1023
196	250	1019
197	250	1015
198	251	1010
199	251	1006
200	252	1002
201	252	997
202	253	993
203	253	989
204	254	985
205	254	981
206	255	977
207	255	973
208	256	969
209	256	964
210	256	961
211	257	956
212	257	952
213	258	949
214	258	945
215	259	941
216	260	938
217	260	934
218	261	931
219	261	927
220	262	924
221	262	920
222	263	917
223	263	913
224	264	910
225	264	906
226	265	903
227	265	899
228	266	895
229	266	892
230	267	889
231	267	885
232	268	882
233	268	878
234	269	875
235	269	872
236	270	869
237	270	866
238	271	863
239	271	859
240	271	856
241	272	853
242	272	850
243	273	847
244	273	844
245	274	841
246	275	838
247	275	835
248	276	832
249	276	829
250	277	826
251	277	823
252	278	821
253	278	818
254	279	815
255	279	812
256	279	809
257	280	806
258	280	803
259	281	800
260	281	798
261	282	795
262	282	792
263	283	789
264	283	786
265	284	784
266	284	781
267	285	779
268	285	776
269	286	774
270	286	771
271	287	769
272	287	766
273	288	763
274	288	761
275	289	759
276	289	756
277	290	754
278	291	752
279	291	749
280	292	747
281	292	745
282	293	742
283	293	740
284	294	737
285	294	735
286	294	732
287	295	730
288	295	728
289	296	725
290	296	723
291	297	721
292	297	718
293	298	716
294	298	714
295	299	712
296	300	710
297	300	708
298	301	706
299	301	704
300	302	701
301	302	699
302	303	697
303	303	695
304	304	693
305	304	691
306	305	688
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	669
316	309	667
317	310	665
318	310	663
319	311	661
320	311	659
321	312	657
322	312	655
323	313	653
324	313	651
325	314	649
326	314	647
327	315	645
328	315	643
329	316	642
330	316	640
331	317	638
332	318	637
333	318	635
334	319	633
335	319	631
336	320	629
337	320	627
338	321	626
339	321	624
340	322	622
341	322	620
342	323	618
343	323	617
344	324	615
345	324	613
346	325	611
347	325	610
348	326	608
349	326	606
350	327	604
351	327	603
352	328	601
353	328	599
354	328	597
355	329	595
356	329	594
357	330	592
358	330	590
359	331	589
360	331	587
361	332	585
362	332	584
363	333	582
364	333	580
365	334	578
366	334	577
367	335	575
368	335	573
369	335	571
370	336	570
371	336	568
372	337	566
373	337	565
374	338	563
375	338	562
376	339	560
377	339	559
378	340	557
379	340	556
380	341	554
381	341	552
382	342	551
383	342	549
384	343	548
385	343	546
386	344	545
387	344	543
388	345	542
389	345	541
390	346	539
391	347	538
392	347	536
393	348	535
394	348	533
395	348	532
396	349	530
397	349	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	521
403	352	520
404	353	518
405	353	517
406	354	516
407	354	514
408	355	513
409	355	511
410	356	510
411	356	509
412	357	507
413	357	506
414	358	504
415	358	503
416	358	501
417	359	500
418	359	499
419	360	497
420	360	496
421	361	495
422	362	493
423	362	492
424	363	491
425	363	489
426	363	488
427	364	487
428	364	485
429	365	484
