iter	Passed	Remaining
0	77	77083
1	78	38931
2	78	26133
3	79	19725
4	79	15885
5	80	13320
6	80	11481
7	81	10099
8	81	9024
9	82	8171
10	83	7481
11	83	6907
12	84	6414
13	85	5995
14	85	5625
15	86	5304
16	86	5018
17	87	4763
18	87	4536
19	88	4333
20	89	4149
21	89	3982
22	90	3832
23	90	3691
24	91	3565
25	92	3446
26	92	3333
27	93	3230
28	93	3133
29	94	3044
30	94	2961
31	95	2881
32	95	2807
33	96	2737
34	96	2670
35	97	2611
36	98	2555
37	98	2502
38	99	2452
39	100	2401
40	100	2352
41	101	2306
42	101	2263
43	102	2221
44	102	2181
45	103	2141
46	103	2105
47	104	2070
48	105	2038
49	105	2011
50	106	1983
51	107	1953
52	107	1924
53	108	1896
54	108	1869
55	109	1844
56	109	1818
57	110	1794
58	111	1770
59	111	1747
60	112	1726
61	112	1705
62	113	1686
63	114	1667
64	114	1648
65	115	1632
66	115	1614
67	116	1597
68	117	1580
69	117	1564
70	118	1547
71	118	1530
72	119	1514
73	119	1499
74	120	1486
75	121	1473
76	121	1459
77	122	1445
78	122	1432
79	123	1419
80	123	1406
81	124	1393
82	124	1378
83	125	1366
84	125	1354
85	126	1342
86	126	1332
87	127	1322
88	128	1313
89	128	1303
90	129	1293
91	130	1283
92	130	1273
93	131	1262
94	131	1253
95	132	1244
96	132	1235
97	133	1226
98	133	1217
99	134	1208
100	134	1201
101	135	1194
102	136	1187
103	136	1179
104	137	1171
105	138	1164
106	138	1157
107	139	1150
108	140	1144
109	140	1138
110	141	1131
111	142	1125
112	142	1120
113	143	1114
114	144	1108
115	144	1101
116	145	1094
117	145	1088
118	146	1081
119	146	1075
120	147	1069
121	147	1062
122	148	1057
123	148	1051
124	149	1046
125	150	1042
126	150	1036
127	151	1031
128	152	1026
129	152	1021
130	153	1016
131	153	1010
132	154	1005
133	154	1000
134	155	995
135	155	990
136	156	986
137	157	982
138	157	977
139	158	973
140	158	968
141	159	962
142	159	957
143	160	953
144	160	949
145	161	944
146	162	940
147	162	936
148	163	932
149	163	929
150	164	925
151	165	922
152	165	918
153	166	914
154	166	910
155	167	906
156	168	902
157	168	898
158	169	894
159	169	890
160	169	885
161	170	882
162	171	878
163	171	875
164	172	872
165	173	869
166	173	866
167	174	862
168	174	859
169	175	855
170	175	852
171	176	849
172	176	845
173	177	842
174	178	839
175	178	836
176	179	833
177	179	830
178	180	828
179	181	825
180	181	822
181	182	819
182	182	816
183	183	813
184	184	810
185	184	807
186	185	804
187	185	801
188	186	799
189	186	796
190	187	794
191	188	792
192	188	789
193	189	786
194	189	784
195	190	781
196	191	778
197	191	776
198	192	773
199	192	770
200	193	767
201	193	765
202	194	763
203	195	761
204	195	758
205	196	756
206	196	753
207	197	751
208	197	748
209	198	746
210	198	743
211	199	741
212	200	739
213	200	736
214	201	734
215	201	733
216	202	730
217	203	728
218	203	727
219	204	724
220	204	722
221	205	720
222	206	717
223	206	715
224	207	713
225	207	711
226	208	708
227	208	706
228	209	704
229	209	702
230	210	700
231	211	699
232	211	697
233	212	695
234	213	694
235	213	692
236	214	689
237	214	687
238	215	685
239	216	684
240	216	681
241	217	680
242	217	678
243	218	676
244	218	674
245	219	672
246	219	670
247	220	668
248	220	666
249	221	664
250	222	662
251	222	660
252	223	658
253	223	657
254	224	656
255	225	654
256	225	652
257	226	650
258	226	648
259	227	647
260	227	645
261	228	643
262	229	641
263	229	640
264	230	638
265	230	636
266	231	635
267	232	633
268	232	631
269	233	630
270	233	628
271	234	626
272	234	625
273	235	623
274	235	621
275	236	620
276	236	618
277	237	616
278	238	615
279	239	614
280	239	613
281	240	612
282	241	610
283	241	609
284	242	607
285	242	606
286	243	604
287	243	602
288	244	601
289	244	599
290	245	598
291	246	596
292	246	595
293	247	594
294	247	592
295	248	590
296	249	589
297	249	588
298	250	586
299	250	585
300	251	584
301	252	582
302	252	581
303	253	580
304	254	579
305	254	578
306	255	576
307	256	575
308	256	574
309	257	572
310	258	571
311	258	570
312	259	568
313	259	567
314	260	566
315	261	567
316	262	565
317	263	564
318	263	563
319	264	561
320	264	560
321	265	558
322	266	557
323	266	556
324	267	554
325	268	554
326	268	553
327	269	552
328	270	551
329	270	549
330	271	548
331	271	547
332	272	545
333	273	544
334	273	543
335	274	542
336	275	542
337	276	541
338	277	541
339	278	540
340	279	539
341	279	538
342	280	537
343	281	536
344	281	535
345	282	534
346	283	532
347	283	531
348	284	530
349	285	529
350	285	528
351	286	527
352	286	525
353	287	524
354	288	523
355	288	522
356	289	521
357	290	520
358	290	519
359	291	517
360	291	516
361	292	515
362	293	514
363	293	513
364	294	511
365	294	510
366	295	509
367	296	508
368	296	507
369	297	506
370	298	505
371	298	504
372	299	503
373	300	502
374	300	500
375	301	499
376	301	498
377	302	497
378	302	496
379	303	495
380	304	493
381	304	492
382	305	491
383	305	490
384	306	489
385	307	488
386	307	487
387	308	486
388	309	485
389	309	484
390	310	483
391	311	482
392	311	481
393	312	480
394	313	479
395	313	478
396	314	477
397	314	476
398	315	475
399	315	473
400	316	472
401	317	471
402	317	470
403	318	469
404	319	468
405	319	468
406	320	466
407	321	465
408	321	464
409	322	463
410	322	462
411	323	461
412	324	460
413	324	459
414	325	458
415	325	457
416	326	456
417	327	455
418	327	454
419	328	453
420	329	452
421	329	451
422	330	450
423	330	449
424	331	448
425	331	447
426	332	446
427	333	445
428	333	444
429	334	443
430	335	442
431	335	441
432	336	440
433	336	439
434	337	438
435	338	437
436	338	436
437	339	435
438	339	434
439	340	433
440	340	432
441	341	431
442	342	430
443	342	429
444	343	428
445	343	427
446	344	426
447	344	425
448	345	424
449	346	423
450	346	422
451	347	420
452	347	420
453	348	419
454	349	418
455	349	417
456	350	416
457	351	415
458	351	414
459	352	413
460	352	412
461	353	411
462	353	410
463	354	409
464	355	408
465	355	407
466	356	406
467	357	405
468	357	404
469	358	403
470	358	402
471	359	401
472	359	400
473	359	399
474	360	398
475	360	397
476	361	396
477	361	395
478	362	394
479	362	393
480	363	392
481	364	391
482	364	390
483	365	389
484	365	388
485	366	387
486	366	386
487	367	385
488	367	384
489	368	383
490	368	381
491	368	380
492	369	379
493	369	378
494	370	378
495	371	377
496	371	376
497	372	375
498	372	374
499	373	373
500	373	372
501	374	371
502	374	370
503	375	369
504	375	368
505	376	367
506	376	366
507	377	365
508	377	364
509	378	363
510	378	362
511	379	361
512	379	360
513	380	359
514	380	358
515	381	357
516	381	356
517	382	355
518	382	354
519	383	353
520	383	352
521	384	351
522	384	350
523	385	350
524	386	349
525	386	348
526	387	347
527	387	346
528	388	345
529	388	344
530	389	343
531	389	342
532	390	341
533	390	340
534	391	339
535	391	339
536	392	338
537	392	337
538	393	336
539	394	335
540	394	334
541	395	333
542	395	332
543	396	332
544	396	331
545	397	330
546	397	329
547	398	328
548	398	327
549	399	326
550	399	325
551	400	324
552	400	323
553	401	322
554	401	322
555	402	321
556	402	320
557	403	319
558	403	318
559	404	317
560	405	317
561	405	316
562	406	315
563	406	314
564	407	313
565	407	312
566	408	312
567	409	311
568	409	310
569	410	309
570	410	308
571	411	307
572	411	306
573	412	305
574	412	305
575	413	304
576	413	303
577	414	302
578	414	301
579	415	300
580	415	299
581	416	299
582	417	298
583	417	297
584	418	296
585	418	295
586	418	294
587	419	293
588	419	292
589	420	292
590	420	291
591	421	290
592	421	289
593	422	288
594	422	287
595	423	287
596	424	286
597	424	285
598	425	284
599	425	283
600	426	282
601	426	282
602	427	281
603	427	280
604	428	279
605	428	278
606	429	277
607	429	276
608	430	276
609	430	275
610	431	274
611	432	273
612	432	273
613	433	272
614	433	271
615	434	270
616	434	269
617	435	268
618	435	268
619	435	267
620	436	266
621	436	265
622	437	264
623	438	264
624	438	263
625	439	262
626	439	261
627	440	260
628	441	260
629	441	259
630	442	258
631	442	257
632	442	256
633	443	256
634	443	255
635	444	254
636	446	254
637	446	253
638	447	252
639	447	251
640	448	251
641	448	250
642	449	249
643	449	248
644	450	247
645	450	246
646	451	246
647	451	245
648	452	244
649	452	243
650	453	243
651	454	242
652	454	241
653	455	240
654	455	239
655	456	239
656	456	238
657	457	237
658	457	236
659	457	235
660	458	235
661	458	234
662	459	233
663	460	232
664	460	232
665	461	231
666	462	230
667	462	230
668	463	229
669	464	228
670	464	227
671	465	227
672	465	226
673	466	225
674	466	224
675	467	224
676	468	223
677	468	222
678	469	221
679	469	221
680	470	220
681	470	219
682	471	218
683	471	217
684	472	217
685	472	216
686	473	215
687	473	214
688	474	214
689	475	213
690	475	212
691	476	212
692	476	211
693	477	210
694	477	209
695	478	208
696	478	208
697	479	207
698	479	206
699	480	205
700	480	205
701	481	204
702	481	203
703	483	203
704	483	202
705	484	201
706	484	200
707	485	200
708	485	199
709	486	198
710	486	197
711	487	197
712	487	196
713	488	195
714	488	194
715	489	194
716	489	193
717	490	192
718	491	191
719	491	191
720	492	190
721	492	189
722	493	188
723	493	188
724	493	187
725	494	186
726	494	185
727	495	185
728	495	184
729	496	183
730	496	182
731	497	182
732	497	181
733	498	180
734	499	179
735	499	179
736	500	178
737	500	177
738	501	177
739	501	176
740	502	175
741	502	174
742	503	174
743	503	173
744	504	172
745	505	171
746	505	171
747	506	170
748	506	169
749	507	169
750	507	168
751	508	167
752	508	166
753	509	166
754	509	165
755	509	164
756	510	163
757	510	163
758	511	162
759	512	161
760	513	161
761	513	160
762	514	159
763	514	158
764	515	158
765	515	157
766	515	156
767	516	156
768	516	155
769	517	154
770	517	153
771	518	153
772	518	152
773	519	151
774	519	150
775	520	150
776	521	149
777	521	148
778	522	148
779	522	147
780	523	146
781	523	145
782	524	145
783	524	144
784	524	143
785	525	143
786	525	142
787	526	141
788	527	140
789	527	140
790	528	139
791	528	138
792	529	138
793	529	137
794	530	136
795	530	136
796	531	135
797	531	134
798	532	133
799	532	133
800	533	132
801	533	131
802	534	131
803	534	130
804	535	129
805	536	129
806	536	128
807	537	127
808	537	126
809	538	126
810	538	125
811	538	124
812	539	124
813	539	123
814	540	122
815	540	121
816	541	121
817	542	120
818	542	119
819	543	119
820	543	118
821	544	117
822	544	117
823	545	116
824	545	115
825	546	115
826	546	114
827	547	113
828	547	112
829	548	112
830	548	111
831	549	110
832	549	110
833	550	109
834	550	108
835	551	108
836	551	107
837	552	106
838	552	106
839	553	105
840	553	104
841	554	103
842	554	103
843	555	102
844	555	101
845	556	101
846	556	100
847	557	99
848	558	99
849	558	98
850	559	97
851	559	97
852	560	96
853	560	95
854	561	95
855	561	94
856	562	93
857	562	93
858	563	92
859	563	91
860	564	91
861	564	90
862	565	89
863	565	89
864	566	88
865	566	87
866	567	87
867	567	86
868	568	85
869	568	84
870	569	84
871	569	83
872	570	82
873	570	82
874	571	81
875	571	80
876	572	80
877	573	79
878	573	78
879	574	78
880	574	77
881	575	76
882	575	76
883	576	75
884	576	74
885	576	74
886	577	73
887	577	72
888	578	72
889	579	71
890	579	70
891	580	70
892	580	69
893	581	68
894	581	68
895	582	67
896	582	66
897	583	66
898	583	65
899	584	64
900	584	64
901	585	63
902	585	62
903	585	62
904	586	61
905	587	60
906	587	60
907	588	59
908	588	58
909	589	58
910	589	57
911	590	56
912	590	56
913	591	55
914	591	54
915	592	54
916	592	53
917	593	52
918	593	52
919	594	51
920	594	51
921	595	50
922	596	49
923	596	49
924	597	48
925	597	47
926	598	47
927	598	46
928	599	45
929	599	45
930	600	44
931	600	43
932	601	43
933	601	42
934	602	41
935	603	41
936	603	40
937	604	39
938	604	39
939	605	38
940	605	37
941	606	37
942	606	36
943	606	36
944	607	35
945	608	34
946	608	34
947	609	33
948	609	32
949	610	32
950	610	31
951	611	30
952	611	30
953	612	29
954	612	28
955	613	28
956	613	27
957	614	26
958	614	26
959	615	25
960	615	24
961	616	24
962	616	23
963	617	23
964	618	22
965	618	21
966	619	21
967	619	20
968	620	19
969	620	19
970	621	18
971	621	17
972	621	17
973	622	16
974	622	15
975	623	15
976	624	14
977	624	14
978	625	13
979	625	12
980	626	12
981	626	11
982	627	10
983	627	10
984	628	9
985	628	8
986	629	8
987	629	7
988	630	7
989	630	6
990	631	5
991	632	5
992	633	4
993	634	3
994	634	3
995	635	2
996	635	1
997	636	1
998	636	0
999	636	0
